school_name,boro,language_classes,neighborhood,building_code,location,phone_number,school_email
Frederick Douglass Academy II Secondary School,M,Spanish,Central Harlem South,M088,"215 West 114th Street, Manhattan NY 10026(40.80261, -73.954152)",212-865-9260,enroll@fda2.org
Manhattan Center for Science and Mathematics,M,"French, Spanish",East Harlem North,M435,"260 Pleasant Avenue, Manhattan NY 10029(40.794184, -73.932868)",212-876-4639,Rtorres2@schools.nyc.gov
Clara Barton High School,K,"American Sign Language, French, Haitian Creole, Spanish",Crown Heights South,K600,"901 Classon Avenue, Brooklyn NY 11225(40.669805, -73.960689)",718-636-4900,RForman@schools.nyc.gov
Academy for Scholarship and Entrepreneurship: A College Board School,X,Spanish,Williamsbridge-Olinville,X362,"921 East 228th Street, Bronx NY 10466(40.888242, -73.852714)",718-696-3840,zwhite2@schools.nyc.gov
It Takes a Village Academy,K,"French, Spanish",East Flatbush,K415,"5800 Tilden Avenue, Brooklyn NY 11203(40.647728, -73.922212)",718-629-2307,sgirard2@schools.nyc.gov
Urban Assembly School for the Performing Arts,M,Spanish,Manhattanville,M043,"509 West 129th Street, Manhattan NY 10027(40.815747, -73.95552)",212-543-4460,mmcmahon3@schools.nyc.gov
Beacon High School,M,"French, Spanish",Clinton,M912,"522 West 44th Street, New York NY 10036(40.760858, -73.996262)",212-465-4230,admissions@beaconschool.org
The Urban Assembly School for Media Studies,M,Spanish,Lincoln Square,M490,"122 Amsterdam Avenue, Manhattan NY 10023(40.774891, -73.985608)",212-501-1110,ddejesus6@schools.nyc.gov
York Early College Academy,Q,Spanish,South Jamaica,Q008,"108-35 167th Street, Jamaica NY 11433(40.69691, -73.786403)",718-262-8547,28Q284@schools.nyc.gov
Bronx Academy for Software Engineering (BASE),X,Spanish,Belmont,X660,"2474 Crotona Avenue, Bronx NY 10458(40.855392, -73.882487)",718-733-6024,info@bronxsoftware.org
"Queens School of Inquiry, The",Q,"French, Japanese, Latin, Russian, Spanish",Kew Gardens Hills,Q168,"158-40 76th Road, Fresh Meadows NY 11366(40.724195, -73.80938)",718-380-6929,Minbal@schools.nyc.gov
Queens High School for Language Studies,Q,Mandarin,Flushing,Q460,"35-01 Union Street, Flushing NY 11354(40.764892, -73.826811)",718-888-7530,info@qhsls.org
Professional Performing Arts High School (PPAS),M,Spanish,Clinton,M017,"328 West 48th Street, Manhattan NY 10036(40.761327, -73.988665)",212-247-8652,admissions@ppasshare.org
High School for Community Leadership,Q,"French, Spanish",Briarwood-Jamaica Hills,Q470,"167-01 Gothic Drive, Jamaica NY 11432(40.714551, -73.798658)",718-558-9801,Cborrero@schools.nyc.gov
George Westinghouse Career and Technical Education High School,K,Spanish,DUMBO-Downtown Brooklyn,K580,"105 Tech Place, Brooklyn NY 11201(40.695444, -73.986105)",718-625-6130,JArzuaga@schools.nyc.gov
High School of Computers and Technology,X,"Japanese, Spanish",Williamsbridge-Olinville,X425,"800 East Gun Hill Road, Bronx NY 10467(40.875172, -73.861649)",718-696-3930,HFrancis@schools.nyc.gov
Long Island City High School,Q,"French, Greek, Italian, Mandarin, Spanish",Astoria,Q452,"14-30 Broadway, Astoria NY 11106(40.765881, -73.933907)",718-545-7095,licinfo@schools.nyc.gov
Pace High School,M,Spanish,Chinatown,M131,"100 Hester Street, Manhattan NY 10002(40.716231, -73.993607)",212-334-4663,eglatz@schools.nyc.gov
The Urban Assembly School for Collaborative Healthcare,K,Spanish,Cypress Hills,K420,"999 Jamaica Avenue, Brooklyn NY 11208(40.693002, -73.869305)",718-277-1572,elovean.loveday@uasch.org
Richard R. Green High School of Teaching,M,Spanish,Lower Manhattan,M282,"7 Beaver Street, Manhattan NY 10004(40.705688, -74.013303)",646-826-8174,edarios@schools.nyc.gov
Pan American International High School at Monroe,X,Spanish,West Farms-Bronx River,X420,"1300 Boynton Avenue, Bronx NY 10472(40.832508, -73.878191)",718-991-7238,bbye@schools.nyc.gov
Gotham Collaborative High School,X,Spanish,Castle Hill-Clason Point,X450,"1980 Lafayette Avenue, Bronx NY 10473(40.821218, -73.85593)",718-597-1587,admissions@gchs.nyc
"New Explorations into Science, Technology and Math High School (NEST+m)",M,"French, Latin, Mandarin, Spanish",Lower East Side,M022,"111 Columbia Street, Manhattan NY 10002(40.719416, -73.979581)",212-677-5190,sglickman6@schools.nyc.gov
Manhattan Academy for Arts & Language,M,Spanish,Murray Hill-Kips Bay,M620,"111 East 33rd Street, Manhattan NY 10016(40.74651, -73.98107)",212-576-0502,sbolets@schools.nyc.gov
High School for Law Enforcement and Public Safety,Q,Spanish,Baisley Park,Q690,"116-25 Guy R Brewer Boulevard, Jamaica NY 11434(40.685838, -73.783438)",718-977-4800,Hsleaps2014@gmail.com
Metropolitan Diploma Plus High School,K,Spanish,Brownsville,K275,"985 Rockaway Avenue, Brooklyn NY 11212(40.655644, -73.906662)",718-342-6249,myallowitz@schools.nyc.gov
NYC iSchool,M,Spanish,SoHo-Tribeca,M615,"131 Avenue Of The Americas, Manhattan NY 10013(40.72463, -74.005058)",917-237-7300,admissions@mail.nycischool.org
Young Women's Leadership School of the Bronx (TYWLS),X,Spanish,Mount Hope,X117,"1865 Morris Avenue, Bronx NY 10453(40.848552, -73.909022)",718-731-2590,info@tywlsbronx.org
Pathways in Technology Early College High School (P-TECH),K,Spanish,Crown Heights North,K625,"150 Albany Avenue, Brooklyn NY 11213(40.675905, -73.939282)",718-221-1593,ptechnyc@schools.nyc.gov
Midwood High School,K,"French, Spanish",Flatbush,K405,"2839 Bedford Avenue, Brooklyn NY 11210(40.632829, -73.952356)",718-724-8500,FBren@schools.nyc.gov
Crotona International High School,X,Spanish,Belmont,X660,"2474 Crotona Avenue, Bronx NY 10458(40.855392, -73.882487)",718-561-8701,crotona.ihs@gmail.com
Pelham Lab High School,X,Spanish,Schuylerville-Throgs Neck,X405,"3000 East Tremont Avenue, Bronx NY 10461(40.839775, -73.839583)",718-904-5090,pelhamlabschool@gmail.com
The Laboratory School of Finance and Technology,X,Spanish,Mott Haven-Port Morris,X149,"360 East 145th Street, Bronx NY 10454(40.813612, -73.920851)",718-585-8202,info@ms223.org
N.Y.C. Museum School,M,"French, Japanese, Spanish",Chelsea-Union Sq,M070,"333 West 17th Street, Manhattan NY 10011(40.742512, -74.002222)",212-675-6206,02M414@schools.nyc.gov
Eagle Academy for Young Men III,Q,Spanish,St. Albans,Q633,"171-10 Linden Boulevard, Jamaica NY 11434(40.69172, -73.778924)",718-480-2600,eagleacademy3@gmail.com
Aviation Career & Technical Education High School,Q,Spanish,Hunters Point-Sunnyside,Q610,"45-30 36th Street, Long Island City NY 11101(40.743309, -73.929577)",718-361-2032,24Q610@schools.nyc.gov
Unity Center for Urban Technologies,M,Spanish,Murray Hill-Kips Bay,M620,"111 East 33rd Street, Manhattan NY 10016(40.74651, -73.98107)",212-576-0530,fdelarosa@schools.nyc.gov
Academy of Innovative Technology,K,"French, Spanish",Cypress Hills,K420,"999 Jamaica Avenue, Brooklyn NY 11208(40.693002, -73.869305)",718-827-2469,info@aoiths.org
Landmark High School,M,"American Sign Language, Italian",Chelsea-Union Sq,M440,"351 West 18th Street, Manhattan NY 10011(40.743407, -74.00254)",212-647-7410,CPinkus@landmarkhs.org
Urban Assembly School for Criminal Justice,K,Spanish,Borough Park,K223,"4200 16th Avenue, Brooklyn NY 11204(40.6351, -73.982424)",718-438-3893,cbonet@uascriminaljustice.org
Benjamin Banneker Academy,K,Spanish,Clinton Hill,K914,"71-77 Clinton Avenue, Brooklyn NY 11205(40.695389, -73.968759)",718-797-3702,KKwateng@schools.nyc.gov
Eagle Academy for Young Men,X,Spanish,Claremont-Bathgate,X465,"4143 Third Avenue, Bronx NY 10457(40.845366, -73.897479)",718-466-8000,admissions@eaglebronx.org
Hillside Arts & Letters Academy,Q,Spanish,Briarwood-Jamaica Hills,Q470,"167-01 Gothic Drive, Jamaica NY 11432(40.714551, -73.798658)",718-658-1249,Rnolasco@schools.nyc.gov
Fordham Leadership Academy,X,"American Sign Language, Japanese, Spanish",Belmont,X435,"500 East Fordham Road, Bronx NY 10458(40.859466, -73.888625)",718-733-5024,aguzman@schools.nyc.gov
Bronx Lab School,X,Spanish,Williamsbridge-Olinville,X425,"800 East Gun Hill Road, Bronx NY 10467(40.875172, -73.861649)",718-696-3700,sarah.marcy@bronxlabschool.org
Cypress Hills Collegiate Preparatory School,K,Spanish,Cypress Hills,K420,"999 Jamaica Avenue, Brooklyn NY 11208(40.693002, -73.869305)",718-647-1672,jbierd@schools.nyc.gov
Park Slope Collegiate,K,Spanish,Park Slope-Gowanus,K460,"237 7th Avenue, Brooklyn NY 11215(40.669255, -73.97858)",718-832-4300,jbloomb@schools.nyc.gov
"Young Women's Leadership School, Queens (TYWLS)",Q,"French, Spanish",Briarwood-Jamaica Hills,Q680,"150-91 87th Road, Jamaica NY 11432(40.708409, -73.804166)",718-725-0402,VBurdier@twylsqueens.org
Brooklyn Preparatory High School,K,Spanish,Williamsburg,K650,"257 North 6th Street, Brooklyn NY 11211(40.715561, -73.954815)",718-486-2550,recruitment@brooklynprephs.org
Williamsburg High School for Architecture and Design,K,Spanish,Williamsburg,K650,"257 North 6th Street, Brooklyn NY 11211(40.715561, -73.954815)",718-388-1260,chu@whsad.org
School for Tourism and Hospitality,X,"American Sign Language, French, Spanish",Morrisania-Melrose,X650,"900 Tinton Avenue, Bronx NY 10456(40.821723, -73.902892)",718-401-4214,agrafals2@schools.nyc.gov
High School for Youth and Community Development at Erasmus,K,Spanish,Flatbush,K465,"911 Flatbush Avenue, Brooklyn NY 11226(40.649602, -73.957173)",718-564-2470,jsinovoi@ycdhs.org
Benjamin N. Cardozo High School,Q,"French, Korean, Mandarin, Spanish",Bayside-Oakland Gardens,Q415,"57-00 223rd Street, Bayside NY 11364(40.752343, -73.757271)",718-279-6500,Mcolby@schools.nyc.gov
East New York Family Academy,K,"French, Spanish",East New York,K819,"2057 Linden Boulevard, Brooklyn NY 11207(40.661104, -73.886664)",718-927-0012,ayard3@schools.nyc.gov
Young Women's Leadership School (TYWLS),M,Spanish,East Harlem South,M895,"105 East 106th Street, New York NY 10029(40.792932, -73.947171)",212-289-7593,admissions@tywls.org
Theater Arts Production Company School (TAPCo),X,French,Mount Hope,X137,"2225 Webster Avenue, Bronx NY 10457(40.854257, -73.897404)",718-584-0832,rlink2@schools.nyc.gov
Fannie Lou Hamer Freedom High School,X,Spanish,Crotona Park East,X878,"1021 Jennings Street, Bronx NY 10460(40.831212, -73.885804)",718-861-0521,admissions@flhfhs.org
Academy of Finance and Enterprise,Q,Spanish,Hunters Point-Sunnyside,Q735,"30-20 Thomson Avenue, Long Island City NY 11101(40.744175, -73.937004)",718-389-3623,varmano@schools.nyc.gov
The Urban Assembly School for Law and Justice,K,Spanish,DUMBO-Downtown Brooklyn,K313,"283 Adams Street, Brooklyn NY 11201(40.694629, -73.988323)",718-858-1160,tgoodger@sljhs.org OR dmoldovan@sljhs.org
Humanities & Arts Magnet High School,Q,"French, Spanish",Cambria Heights,Q490,"207- 01 116th Avenue, Cambria Heights NY 11411(40.698786, -73.74633)",718-978-2135,KAyetiwa@schools.nyc.gov
Bronx High School for Medical Science,X,Spanish,E. Concourse-Concourse Village,X410,"240 East 172nd Street, Bronx NY 10457(40.839307, -73.911366)",718-410-4040,hsms@hsmedicalscience.org
The Urban Assembly School for Green Careers,M,Spanish,Upper West Side,M470,"145 West 84th Street, Manhattan NY 10024(40.786134, -73.974483)",212-787-1189,info@uagreencareers.org
John Adams High School,Q,"Bengali, French, Hindi, Spanish",South Ozone Park,Q480,"101-01 Rockaway Boulevard, Ozone Park NY 11417(40.680065, -73.838616)",718-322-0500,MPanindranauth@schools.nyc.gov
High School of Economics and Finance,M,Spanish,Lower Manhattan,M833,"100 Trinity Place, Manhattan NY 10006(40.70927, -74.012328)",212-346-0708,cbitar@schools.nyc.gov
The Urban Assembly School of Design and Construction,M,Spanish,Clinton,M535,"525 West 50th Street, Manhattan NY 10019(40.765474, -73.9927)",212-586-0981,Matt.Willoughby@uasdc.org
Energy Tech High School,Q,Spanish,Queensbridge-LIC,Q204,"36-41 28th Street, Astoria NY 11106(40.756471, -73.932628)",718-472-0536,energytech@energytechhs.org
High School of Language and Innovation,X,"Korean, Spanish",Bronxdale,X415,"925 Astor Avenue, Bronx NY 10469(40.860443, -73.860729)",718-944-3625,info@languageandinnovation.org
South Bronx Preparatory: A College Board School,X,Spanish,Mott Haven-Port Morris,X149,"360 East 145th Street, Bronx NY 10454(40.813612, -73.920851)",718-292-2211,EFlanag2@schools.nyc.gov
Brooklyn College Academy,K,Spanish,Windsor Terrace,K917,"350 Coney Island Avenue, Brooklyn NY 11218(40.649055, -73.972312)",718-853-6184,slajara@schools.nyc.gov
Rachel Carson High School for Coastal Studies,K,Spanish,West Brighton,K303,"521 West Avenue, Brooklyn NY 11224(40.582518, -73.972009)",718-265-0329,ewilens@schools.nyc.gov
"Heritage School, The",M,Spanish,East Harlem South,M107,"1680 Lexington Avenue, Manhattan NY 10029(40.791966, -73.946879)",212-828-2858,ARodriguez21@schools.nyc.gov
The High School of Fashion Industries,M,Spanish,Chelsea-Union Sq,M600,"225 West 24th Street, Manhattan NY 10011(40.745677, -73.996354)",212-255-1235,dsilva3@schools.nyc.gov
International High School at LaGuardia Community College,Q,"Arabic, Bengali, French, Korean, Mandarin, Polish, Portuguese, Russian, Spanish, Urdu",Hunters Point-Sunnyside,Q520,"45-35 Van Dam Street, Long Island City NY 11101(40.743253, -73.933316)",718-392-3433,jvalane@ihsnyc.org
Talent Unlimited High School,M,Spanish,Lenox Hill,M480,"317 East 67th Street, Manhattan NY 10065(40.765638, -73.959777)",212-737-1530,admissions@tuhs.nyc
Urban Assembly Gateway School for Technology,M,Spanish,Clinton,M625,"439 West 49th Street, Manhattan NY 10019(40.763655, -73.990318)",212-246-1041,admissions@uagateway.org
Riverdale / Kingsbridge Academy (Middle School / High School 141) (RKA),X,"French, Spanish",Fieldston-Riverdale,X141,"660 West 237th Street, Bronx NY 10463(40.887407, -73.914141)",718-796-8516,jprince4@schools.nyc.gov
High School for Environmental Studies,M,"French, Italian, Mandarin, Spanish",Clinton,M834,"444 West 56th Street, Manhattan NY 10019(40.767848, -73.98861)",212-262-8113,ANajmi@schools.nyc.gov
Schuylerville Preparatory High School,X,Spanish,Schuylerville-Throgs Neck,X405,"3000 East Tremont Avenue, Bronx NY 10461(40.839775, -73.839583)",718-904-5080,mramos@schuylervilleprephs.org
CSI High School for International Studies,R,"Japanese, Mandarin, Spanish",Todt Hill-Heartland Village,R043,"100 Essex Drive, Staten Island NY 10314(40.581958, -74.159343)",718-370-6900,31r047@schools.nyc.gov
Lyons Community School,K,Spanish,East Williamsburg,K049,"223 Graham Avenue, Brooklyn NY 11206(40.709765, -73.944463)",718-782-0918,lyons@lyonscommunityschool.org
Brooklyn Technical High School,K,"French, Italian, Mandarin, Spanish",Fort Greene,K430,"29 Ft Greene Place, Brooklyn NY 11217(40.688896, -73.976435)",718-804-6400,info@bths.edu
Morris Academy for Collaborative Studies,X,"French, Spanish",Morrisania-Melrose,X400,"1110 Boston Road, Bronx NY 10456(40.827455, -73.90392)",718-617-5312,info@macsx297.org
Brooklyn Institute for Liberal Arts (BILA),K,Spanish,Prospect Lefferts Gardens,K470,"600 Kingston Avenue, Brooklyn NY 11203(40.658671, -73.943839)",718-221-1097,ahenrystephens@schools.nyc.gov
Grover Cleveland High School,Q,"Italian, Spanish",Ridgewood,Q485,"21-27 Himrod Street, Ridgewood NY 11385(40.711881, -73.909202)",718-381-9600,24Q485@schools.nyc.gov
Franklin Delano Roosevelt High School,K,"Mandarin, Spanish",Borough Park,K505,"5800 20th Avenue, Brooklyn NY 11204(40.621299, -73.982583)",718-621-8800,MKatz10@schools.nyc.gov
Queens Preparatory Academy,Q,Spanish,Springfield Gardens North,Q420,"143-10 Springfield Boulevard, Springfield Gardens NY 11413(40.66903, -73.757744)",718-712-2304,thaywoo2@queensprepacademy.org
The Urban Assembly Bronx Academy of Letters,X,"Arabic, Spanish",Mott Haven-Port Morris,X183,"339 Morris Avenue, Bronx NY 10451(40.813681, -73.925995)",718-401-4891,Cardet.Hernandez@BXLetters.org
Automotive High School,K,"Italian, Spanish",Williamsburg,K610,"50 Bedford Avenue, Brooklyn NY 11222(40.721448, -73.953328)",718-218-9301,afemi@automotivehs.org
Herbert H. Lehman High School,X,"Italian, Spanish",Schuylerville-Throgs Neck,X405,"3000 East Tremont Avenue, Bronx NY 10461(40.839775, -73.839583)",718-904-4200,Admissions@LehmanHS.com
Spring Creek Community School,K,French,Bergen Beach,K422,"1065 Elton Street, Brooklyn NY 11208(40.657266, -73.874064)",718-688-7200,CKoza@schools.nyc.gov
Academy of American Studies,Q,"French, Spanish",Queensbridge-LIC,Q451,"28-04 41st Avenue, Long Island City NY 11101(40.751144, -73.937564)",718-361-8786,academyinfo@schools.nyc.gov
Academy of Medical Technology: A College Board School,Q,Spanish,Far Rockaway-Bayswater,Q465,"8-21 Bay 25th Street, Far Rockaway NY 11691(40.601537, -73.763995)",718-471-3571,KPerez11@schools.nyc.gov
DeWitt Clinton High School,X,Spanish,Van Cortlandt Village,X440,"100 West Mosholu Parkway South, Bronx NY 10468(40.879958, -73.889011)",718-543-1000,dwc@dwchs.net
Epic High School - North,Q,Spanish,Richmond Hill,Q636,"94-25 117th Street, South Richmond Hill NY 11419(40.693013, -73.829409)",718-570-8230,info@epicschoolsnyc.org
East Side Community School,M,Spanish,East Village,M060,"420 East 12th Street, Manhattan NY 10009(40.729152, -73.982472)",212-460-8467,hsadmissions@eschs.org
Urban Assembly Institute of Math and Science for Young Women,K,Spanish,DUMBO-Downtown Brooklyn,K313,"283 Adams Street, Brooklyn NY 11201(40.694629, -73.988323)",718-260-2300,jenc@uainstitute.org
The Urban Assembly School of Business for Young Women,M,Spanish,Lower Manhattan,M282,"26 Broadway, Manhattan NY 10004(40.705688, -74.013303)",212-668-0169,pminaya@uasbyw.org
"Celia Cruz Bronx High School of Music, The",X,Spanish,Van Cortlandt Village,X430,"2780 Reservoir Avenue, Bronx NY 10468(40.869061, -73.897066)",718-329-8550,dfink2@schools.nyc.gov
Pan American International High School,Q,Spanish,Elmhurst,Q744,"45-10 94th Street, Elmhurst NY 11373(40.743228, -73.871505)",718-271-3602,ggonzalez3@panamericanihs.org
High School of Hospitality Management,M,Italian,Clinton,M535,"525 West 50th Street, Manhattan NY 10019(40.765474, -73.9927)",212-586-0963,DWilliams11@schools.nyc.gov
Frederick Douglass Academy III Secondary School,X,"French, Spanish",Claremont-Bathgate,X148,"3630 Third Avenue, Bronx NY 10456(40.833493, -73.903951)",718-538-9726,jcarlos@schools.nyc.gov
High School of Arts and Technology,M,Spanish,Lincoln Square,M490,"122 Amsterdam Avenue, Manhattan NY 10023(40.774891, -73.985608)",212-501-1198,admissions@hsartstech.org
Newcomers High School,Q,"Mandarin, Spanish",Queensbridge-LIC,Q450,"28-01 41st Avenue, Long Island City NY 11101(40.751838, -73.936592)",718-937-6005,30Q555@schools.nyc.gov
Bronx High School for the Visual Arts,X,Spanish,Pelham Parkway,X839,"2040 Antin Place, Bronx NY 10462(40.851577, -73.864438)",718-319-5160,iwither@schools.nyc.gov
Preparatory Academy for Writers: A College Board School,Q,Spanish,Springfield Gardens North,Q420,"143-10 Springfield Boulevard, Springfield Gardens NY 11413(40.66903, -73.757744)",718-949-8405,MSingh8@schools.nyc.gov
Brooklyn Community Arts & Media High School (BCAM),K,"Mandarin, Spanish",Clinton Hill,K117,"300 Willoughby Avenue, Brooklyn NY 11205(40.692015, -73.95818)",718-230-5748,bcaminfo@bcamhs.org
All City Leadership Secondary School,K,"French, Spanish",Bushwick,K554,"321 Palmetto Street, Brooklyn NY 11237(40.697378, -73.913172)",718-246-6500,EEsteve@schools.nyc.gov
Health Opportunities High School,X,"Japanese, Russian, Spanish",West Concourse,X884,"350 Gerard Avenue, Bronx NY 10451(40.815712, -73.92996)",718-401-1826,jmchedlishvili@schools.nyc.gov
Gramercy Arts High School,M,Italian,Gramercy,M460,"40 Irving Place, Manhattan NY 10003(40.735361, -73.987064)",212-253-7076,sdicicco@schools.nyc.gov
Brooklyn High School of the Arts,K,"French, Japanese, Mandarin, Other Language, Spanish",DUMBO-Downtown Brooklyn,K655,"345 Dean Street, Brooklyn NY 11217(40.683951, -73.980266)",718-855-2412,frank.proudfoot@brooklynartshs.nyc
High School for Arts and Business,Q,"French, Italian, Spanish",Corona,Q456,"105-25 Horace Harding Expressway N, Corona NY 11368(40.737673, -73.853412)",718-271-8383,azambra@schools.nyc.gov
Teachers Preparatory High School,K,Spanish,Brownsville,K175,"226 Bristol Street, Brooklyn NY 11212(40.665568, -73.912102)",718-498-2605,CSimon6@schools.nyc.gov
"City Polytechnic High School of Engineering, Architecture, and Technology",K,Spanish,DUMBO-Downtown Brooklyn,K580,"105 Tech Place, Brooklyn NY 11201(40.695444, -73.986105)",718-875-1473,info@citypolyhs.org
Murray Hill Academy,M,Spanish,Murray Hill-Kips Bay,M620,"111 East 33rd Street, Manhattan NY 10016(40.74651, -73.98107)",212-696-0195,Amannin3@schools.nyc.gov
Manhattan Bridges High School,M,Spanish,Clinton,M535,"525 West 50th Street, Manhattan NY 10019(40.765474, -73.9927)",212-757-5274,MSMedina@ManhattanBridgesHS.org
Food and Finance High School,M,French,Clinton,M535,"525 West 50th Street, Manhattan NY 10019(40.765474, -73.9927)",212-586-2943,cmercado4@schools.nyc.gov
Urban Action Academy,K,Spanish,Canarsie,K500,"1600 Rockaway Parkway, Brooklyn NY 11236(40.640543, -73.898601)",718-290-8720,sdorcel@schools.nyc.gov
"High School for Law, Advocacy and Community Justice",M,Spanish,Lincoln Square,M490,"122 Amsterdam Avenue, Manhattan NY 10023(40.774891, -73.985608)",212-501-1201,lfernandez8@schools.nyc.gov
Antonia Pantoja Preparatory Academy: A College Board School,X,Spanish,Castle Hill-Clason Point,X450,"1980 Lafayette Avenue, Bronx NY 10473(40.821218, -73.85593)",718-824-3152,nsingh4@schools.nyc.gov
Stephen T. Mather Building Arts & Craftsmanship High School,M,Spanish,Clinton,M625,"439 West 49th Street, Manhattan NY 10019(40.763655, -73.990318)",212-399-3520,MrRogers@MatherHSNYC.org
DreamYard Preparatory School,X,Spanish,E. Concourse-Concourse Village,X410,"240 East 172nd Street, Bronx NY 10457(40.839307, -73.911366)",718-410-4242,dypreprecruitment@dreamyard.com
Queens Technical High School,Q,Spanish,Hunters Point-Sunnyside,Q600,"37-02 47th Avenue, Long Island City NY 11101(40.741658, -73.927995)",718-937-3010,info@queenstechhs.org
New Design High School,M,Spanish,Chinatown,M445,"350 Grand Street, Manhattan NY 10002(40.717329, -73.989329)",212-475-4148,info@newdesignhigh.com
Kurt Hahn Expeditionary Learning School,K,Spanish,East Flatbush,K415,"5800 Tilden Avenue, Brooklyn NY 11203(40.647728, -73.922212)",718-629-1204,ewaterman@kurthahnschool.org
Stuyvesant High School,M,"French, German, Italian, Japanese, Latin, Mandarin, Spanish",Lower Manhattan,M477,"345 Chambers Street, Manhattan NY 10282(40.718025, -74.013921)",212-312-4800,02M475@schools.nyc.gov
Tottenville High School,R,"Italian, Latin, Spanish",Annadale-Huguenot-Princes Bay,R455,"100 Luten Avenue, Staten Island NY 10312(40.528152, -74.193431)",718-668-8800,31R455@schools.nyc.gov
Longwood Preparatory Academy,X,Spanish,Longwood,X039,"965 Longwood Avenue, Bronx NY 10459(40.817741, -73.897876)",718-860-1242,08x530@schools.nyc.gov
High School for Contemporary Arts,X,"French, Spanish",Williamsbridge-Olinville,X425,"800 East Gun Hill Road, Bronx NY 10467(40.875172, -73.861649)",718-944-5610,PCubero@schools.nyc.gov
Bronx School of Law and Finance,X,"Latin, Spanish",Spuyten Duyvil-Kingsbridge,X475,"99 Terrace View Avenue, Bronx NY 10463(40.877379, -73.912686)",718-561-0113,aburgos@bxslf.org
Lower Manhattan Arts Academy,M,Spanish,Chinatown,M445,"350 Grand Street, Manhattan NY 10002(40.717329, -73.989329)",212-505-0143,LCordero@schools.nyc.gov
ACORN Community High School,K,"French, Spanish",Crown Heights North,K909,"561 Grand Avenue, Brooklyn NY 11238(40.678591, -73.961636)",718-789-2258,13K499@schools.nyc.gov
Astor Collegiate Academy,X,Spanish,Bronxdale,X415,"925 Astor Avenue, Bronx NY 10469(40.860443, -73.860729)",718-944-3418,LCook3@schools.nyc.gov
Epic High School - South,Q,Spanish,South Ozone Park,Q226,"121-10 Rockaway Boulevard, South Ozone Park NY 11420(40.675021, -73.81673)",718-845-1290,infoepicsouth@epicschoolsnyc.org
Bronx Career and College Preparatory High School,X,Spanish,Longwood,X158,"800 Home Street, Bronx NY 10456(40.826933, -73.900593)",718-542-4011,info@bccprep.com
Martin Van Buren High School,Q,"American Sign Language, French, Spanish",Bellerose,Q435,"230-17 Hillside Avenue, Queens Village NY 11427(40.733888, -73.739726)",718-776-4728,ssochet@schools.nyc.gov
The Clinton School,M,Spanish,Chelsea-Union Sq,M868,"10 East 15th Street, Manhattan NY 10003(40.736526, -73.992727)",212-524-4360,jillbennett@theclintonschool.net
Vanguard High School,M,"French, Spanish",Lenox Hill,M480,"317 East 67th Street, Manhattan NY 10065(40.765638, -73.959777)",212-517-5175,admissions@vhsnyc.org
East Bronx Academy for the Future,X,Spanish,Crotona Park East,X973,"1716 Southern Boulevard, Bronx NY 10460(40.836821, -73.887688)",718-861-8641,information@eastbronxacademy.org
Excelsior Preparatory High School,Q,Spanish,Springfield Gardens North,Q420,"143-10 Springfield Boulevard, Springfield Gardens NY 11413(40.66903, -73.757744)",718-525-6507,llucas2@schools.nyc.gov
Bronx Leadership Academy High School,X,Spanish,Claremont-Bathgate,X876,"1710 Webster Avenue, Bronx NY 10457(40.84325, -73.902969)",718-299-4274,iyip@schools.nyc.gov
Belmont Preparatory High School,X,Spanish,Belmont,X435,"500 East Fordham Road, Bronx NY 10458(40.859466, -73.888625)",718-733-4559,info@belmontprephs.org
Mott Hall V,X,"French, Spanish",West Farms-Bronx River,X423,"1551 East 172nd Street, Bronx NY 10472(40.832508, -73.878191)",718-620-8160,HS_admissions@motthallv.org
"The High School for Enterprise, Business and Technology",K,"American Sign Language, Spanish",Bushwick,K450,"850 Grand Street, Brooklyn NY 11211(40.711134, -73.938921)",718-387-2800,14K478@schools.nyc.gov
Queens Metropolitan High School,Q,"French, Italian, Spanish",Forest Hills,Q686,"91-30 Metropolitan Avenue, Forest Hills NY 11375(40.708431, -73.855543)",718-286-3600,Kramazan@queensmetro.org
Community Health Academy of the Heights,M,Spanish,Washington Heights S.,M814,"504 West 158th Street, Manhattan NY 10032(40.833695, -73.942074)",212-342-6600,mhouse@schools.nyc.gov
Channel View School for Research,Q,Spanish,Breezy Point-Rockaway Park,Q410,"100-00 Beach Channel Drive, Rockaway Park NY 11694(40.586012, -73.825317)",718-634-1970,Dharper22@schools.nyc.gov
High School for Teaching and the Professions,X,Spanish,Van Cortlandt Village,X430,"2780 Reservoir Avenue, Bronx NY 10468(40.869061, -73.897066)",718-329-7380,nrodriguez@hsforteaching.org
Cultural Academy for the Arts and Sciences,K,Spanish,East Flatbush,K415,"5800 Tilden Avenue, Brooklyn NY 11203(40.647728, -73.922212)",718-968-6630,salexis@schools.nyc.gov
Inwood Early College for Health and Information Technologies,M,Spanish,Inwood,M052,"650 Academy Street, Manhattan NY 10034(40.865556, -73.925464)",212-567-1394,inwoodearlycollege@gmail.com
Medgar Evers College Preparatory School,K,"French, Mandarin, Spanish",Crown Heights South,K590,"1186 Carroll Street, Brooklyn NY 11225(40.66679, -73.951823)",718-703-5400,MWiltsh@schools.nyc.gov
